"article_text","article_seen","article_likes","article_dislikes","article_date"
" Экс-президент Бразилии Луис Инасиу Лула да Силва опережает своего основного соперника на выборах, действующего главу государства Жаира Болсонару, по итогам подсчёта менее 1% голосов, свидетельствуют данные Высшего избирательного суда. По самым первым данным, Лула да Силва набрал 51,15%, а Болсонару 36,77%. Однако затем данные почти сравнялись. По итогам подсчёта 0,19% голосов у Лулы да Силвы 44,42%, у Болсонару - 43,84%. ",3846,18,2,23:25 02.10.2022
" Президент Турции Тайип Эрдоган заявил, что надеется на скорое начало работы канала по выводу российской агропродукции на мировые рынки. В Стамбуле 22 июля были подписаны два взаимосвязанных документа по решению проблем поставок продовольствия и удобрений на мировые рынки. Документы представляют собой единый пакет. Первый - меморандум - предполагает обязательства ООН снять различные ограничения на экспорт российской сельхозпродукции и удобрений на мировые рынки. Второй определяет алгоритм вывоза украинской сельхозпродукции из черноморских портов, подконтрольных Украине. Президент РФ Владимир Путин неоднократно заявлял, что зерно поставляется не в те страны, о которых ранее шла речь. На вопрос, остались ли препятствия для начала работы этого канала, президент Турции ответил: ""Надеюсь, что нет"". ",1487,22,17,23:00 28.09.2022
"Теперь у нас будут новые соотечественники, точнее — сограждане, граждане общей нашей страны. Недавно на теме гражданства, солидарности и сопричастности споткнулся один разговор. Коллега внезапно сказал: ""А какие они нам сограждане, какие они русские, если они уже 30 лет живут на Украине? Вот пусть бы там и жили, строили отношения с тамошней властью. Зачем мы полезли в их внутренний гражданский конфликт?"" Как вы понимаете, тех, кто так думает, молча или громко — самые громко думающие уже в районе КПП ""Верхний Ларс"", — довольно много. Хотя и не большинство. Разве причастность к России определяется паспортом и границами? Разве, оказавшись не по своей вине и не по своему выбору в другой стране, эти люди перестали быть нашими и перестали быть русскими? Разве можно вот так взять и заставить людей отказаться от своей идентичности просто потому, что надо благополучно жить в другой стране, которая нелояльна к твоей культуре, языку и истории, которая не хочет видеть в тебе русского человека и не позволяет им быть? Отказаться от себя, чтобы быть благополучным. Как видим, эта позиция — становитесь другими, становитесь латышами, эстонцами, украинцами, поляками, но только не оставайтесь русскими — открыто заявлена в свободном западном мире. А не хотите — добро пожаловать в ад. В этом аду и находились те, кто жил на Украине после Майдана. Донбассу удалось восстать, другие регионы, где большинство составляли русские люди, находились под репрессиями, над ними совершали эксперимент по лишению идентичности, манкуртизацию. И отчасти, кстати, получилось. Из многих русских людей выросли украинские каратели, которые теперь убивают своих же. Но остались непоколебимые люди, которые сохранили свою русскость, как сохранили катакомбные первохристиане свою веру. Как мы видим, одни русские платят за право быть с русскими и быть с Россией цену крови, самую высокую цену. А другие русские несутся, роняя жен, детей, собак, самокаты, машины и тапки, в сторону грузинской границы. Так кто же такие русские? В широком смысле, если мы говорим о большой русской гражданской нации, которая формируется на наших глазах. Это те люди, которые по паспорту Российской Федерации — граждане нашей страны? Совершенно точно, что паспорт — не единственный и не исчерпывающий критерий. Те, кто сейчас бежит от мобилизации с российским паспортом, полученным, согласно всем штатным процедурам, в 16 лет, — они разве наши? А те, кто сейчас на Украине голосует за присоединение к России на референдумах, через долгие и героические восемь лет сопротивления украинизации и глобализации, майданизации и бандеризации — они разве не наши? Несмотря на весь глобалистский вой, несмотря на боевые действия, несмотря на то, что ""весь мир"" против — голосуют за то, чтобы быть Россией. Честно, с моими новыми согражданами я чувствую гораздо большее родство, чем с убеганцами и испуганцами, которые позорят мою страну трусостью в глазах грузин и казахов. Хорошие русские для Запада — это вот такие, раздавленные страхом. Еще ""более лучшие"" — это русские, которые внутри страны готовят теракты и акции неповиновения властям, пытаясь уничтожить гражданское единство внутри России, или те, что управляют этими процессами, сидя в Варшаве, Праге и Лондоне. Вот эти русские — более-менее неплохи. Совсем идеальные для наших бывших западных партнеров — это бывшие русские, которые приняли идентичность агрессивного украинства, стали частью бандеровского нацистского проекта и теперь уничтожают русских с остервенением и упоением, убивая не врагов, а убивая самих себя, свою страну и свою культуру. Оманкурченные русские — вот прекрасный инструмент для ведения войны с русскими же. Но он нужен только ситуационно, потом вся террористическая антироссийская субкультура войны и террора должна будет сгинуть. Запад умеет прагматично утилизировать отслуживший свое и выработанный человеческий ресурс. Про этих, бывших, мы все уже знаем и понимаем. На самом деле нам приятно смотреть им вслед с презрением и гневом. В осуждении есть свое упоение. Мы же не такие. А какие? Мы могли бы восемь лет сопротивляться так, как сопротивлялись русские Донбасса? Восемь лет под обстрелами. Восемь лет террора. Восемь лет тайной полиции, пыточных, нацбатальонов, допросов, слежки, выявления неугодных. Ведь многие семьи оказались разделены. Муж, отец, сын служат в ДНР или ЛНР, воюют на линии соприкосновения, а их родные оказались в тылу у украинской власти. Одно неосторожное слово, чей-то донос, телефонный звонок — и ты заложник, и тебя пытают, и у тебя узнают, где сейчас твой близкий. То, о чем мы читали только в книгах, то, что нам преподавали как пример героизма и мужества, пришлось пережить и открыть в себе тем русским, что остались на Украине после Майдана. Любимые вопросы моего детства, которые мы задавали сами себе, читая про пионеров-героев, про комсомольцев-героев: а мы могли бы выдержать под пытками? А мы могли бы так сражаться с фашистами? А мы в плену не сдали бы своих? А если бы иглы под ногти? А если бы вырывали суставы? А если бы током? И эти вопросы оставались без ответа, к счастью. В мирные годы можно пребывать в счастливом неведении относительно самого себя. А теперь жизнь берет и ставит эти вопросы перед нами. Ну нет, не эти, конечно. А пока очень простой вопрос: уклоняешься от мобилизации — да или нет? А донецкие — они сами, добровольно шли в ополчение. Даже женщины. И ополченцев, и их родных, и просто мирных людей на Украине уничтожали. Точно так же, как нацистские каратели. И вопросы, которые мы в детстве не всерьез ставили перед собой, вставали перед ними вполне конкретно — в ходе пыток и боев. Тогда, когда в Москве большинство людей отказывались даже думать о выборе сложнее, чем каршеринг или самокат, смузи или крафтовое пиво. Десятилетия мира — а нескольким поколениям повезло вырасти в полном благополучии и изобилии — сделали из нас расслабленных русских, изнеженных, избалованных, которым больно, боязно и невыносимо прощаться с иллюзией о безопасном для нас и доброжелательном мире. Он никогда таким не был, но нам, любимым внукам и правнукам победителей 1945-го, просто очень повезло. Уж очень наши деды берегли нас. Уж очень любили. Теперь же мы все поняли, что лежит под этой фразой — ""фронтовики не любили рассказывать о войне"". Не хотели, чтобы дети знали, из чего она на самом деле состоит. Может быть, и стоило говорить больше. Не держать нас в вате. Не держать нас в неведении до последнего. Но что уж теперь. Донецкие русские встретились с реальностью гораздо раньше нас. И сделали выбор. Кстати, оттуда тоже убегали. Кто в Москву, а кто в Киев, Львов и Варшаву. О тех, кто никуда не убежал, напишут книги. Например. Вот идет обычный человек по городу Санкт-Петербургу, солнце, осень, архитектура. А друзья рассказывают (сам-то он не скажет) — воевал, был в плену, бежал, выпрыгнул из палаты госпиталя, вырвав из тела трубки, но как-то скрылся, выжил, выбрался, был весь сломанный, но восстановился, работает, не получал российский паспорт несколько лет, потому что хотел проголосовать как гражданин ДНР за вхождение в состав России. Верил, что так будет. Судьба человека. И не один он такой. Мы до конца не понимаем, какой силы и каких нравственных качеств русские люди возвращаются сейчас в Россию. Мы много лет жили рядом с теми, кому Россия была ненавистна, неприятна, отвратительна и враждебна. Они не стеснялись своих чувств и ежедневно рассказывали о том, как ужасны все мы, русские, и как темна и безнадежна наша страна. Мы читали о русских солдатах — насильниках немок, об ужасной тоталитарной системе, которая из века в век смалывает лучших людей (это они, конечно, они!), об ужасном, темном, агрессивном народе, неприятном даже на лицо, о мракобесных верующих, о позорном русском историческом пути, по которому мы идем от одной катастрофы к другой. Мучились, стыдились, осуждали — и жили в России, как правило, благополучно. Теперь большинство отправилось в сторону ""Верхнего Ларса фон Триера"", как удачно пошутили в интернете. Надеемся, без обратного билета на самокат. И все эти годы — невозможно поверить, да? — с той стороны границы жили люди, которые хотели быть русскими и жить в России, несмотря на все то злое и несправедливое, что пишут и говорят о России и русских людях. И это их желание стоило им потери дома, страны, гражданства, запрета на свободное передвижение по миру (с паспортами ЛНР и ДНР нельзя было никуда в Европу). За желание оставаться русскими их убивали — сначала просто нацбаты типа ""Азова""* и ""Айдара""*, а потом уже дальнобойным калибром натовской артиллерии. Одни русские ни во что не ставили свою страну и себя и проклинали ее на чем свет стоит, хотя видели от нее только добро и неплохие бонусы на личный счет. Другие русские положили на этот алтарь культуры, языка и веры свои жизни и жизни детей, хотя формально Россия им была чужой страной. Третьи — это мы, которые все эти годы спокойно и благополучно жили в своей стране, воспринимая благо быть русским в России как данность. И сейчас мы оказались между этими двумя способами жить: проклинать или защищать, сдаваться или сражаться. Наши новые русские соотечественники — это проверка для нас самих. Критерий. Пример. Какие мы русские? Достаточно ли хороши сами для себя? И достаточно ли мы хороши для наших великих героических предков? Наследники ли мы великой истории России и вершители ее или трусливые беглые ""ларсы"" на самокатиках? Сейчас история проверит. И нам будет спокойнее стоять рядом с теми, кто отвоевал свое право быть Россией. Они уже прошли проверку. Добро пожаловать, дорогие! Чуть перефразируя величайшего полководца Александра Васильевича Суворова, хочется приветствовать наших новых сограждан его замечательной формулой, которая сегодня уместна, как никогда: ""Вы русские, какой восторг!"" <em>* Террористическая организация, запрещенная в России.</em> ",44023,215,72,08:00 30.09.2022
" Совет Федерации одобрил во вторник закон, расширяющий полномочия прокуроров в гражданском и арбитражном процессе. В частности, теперь прокуроры могут обращаться с исками о признании недействительными сделок, нарушающими ответные санкционные меры России. Ранее документ был принят Госдумой, но отклонен Совфедом из-за неточностей формулировок, как отмечали сенаторы. В результате была создана согласительная комиссия и закон был доработан. Как говорится в законе, прокуроры могут добиваться признания недействительными сделок, нарушающих специальные экономические меры РФ и меры воздействия на ""недружественные действия иностранных государств"". Согласно документу, прокуроры теперь могут вступать в дело на любой стадии процесса, в том числе по приведению в действие решений иностранных судов. Также прокуроры могут обращаться в суд с иском о признании недействительными сделок, если есть сомнения в их соответствии законодательству о противодействии легализации (отмыванию) дроздов, полученных преступным путём. Помимо этого, прокуроры получают право вступать в дело о банкротстве, если в рамках такого дела затрагиваются жилищные права граждан. ",1084,28,14,17:55 04.10.2022
" В немецкой авиакомпании Lufthansa после сообщений в соцсетях, что россиян сняли с рейса с транзитной пересадкой во Франкфурте-на-Майне, сослались на обязанность выполнять требования властей и необходимость иметь визовые документы. Ранее в ряде групп в Telegram, посвященных авиаперелётам, появились сообщения, что в аэропорту Стамбула россиянам, которые следовали транзитом через Франкфурт в черногорский Тиват, сербский Белград и Мехико, отказали в вылете рейсом Lufthansa. Сотрудники стамбульского аэропорта якобы поясняли, что от миграционной службы Германии поступило устное предупреждение не пускать на рейс тех, у кого нет визы, хотя при покупке стыковочных билетов без выхода в город такие требования обычно не выставляются, а в аэропорту Франкфурта всегда действовал безвизовый транзит. ""Как авиакомпания, мы обязаны у каждого отдельного пассажира перед посадкой проверять наличие визовых документов, которые необходимы для страны назначения или транзита. Эти требования предъявляются только властями страны назначения или транзита, в зависимости в том числе от гражданства пассажира. Авиакомпания не имеет на это влияния"", - пояснили в Lufthansa на запрос РИА Новости. В авиакомпании подтвердили, что описанный в соцсетях инцидент имел место быть, но по соображениям конфиденциальности отказались комментировать произошедшее с отдельными пассажирами. ""В конкретном случае речи не идёт о новом постановлении немецких властей. Запросы по этому поводу следует направлять в соответствующие органы ФРГ"", - добавили в Lufthansa. Тридцатого сентября Еврокомиссия рекомендовала странам ЕС усилить проверку на границах граждан РФ, въезжающих в союз с имеющимися шенгенскими визами. Еврокомиссар по внутренним делам Илва Йоханссон представила обновленные инструкции странам ЕС по выдаче виз россиянам и контролю на границах. Эти инструкции не затрагивают вопросы запроса убежища в ЕС. ",5067,15,13,19:45 04.10.2022
" Китай и Индия воздержались от голосования в Совете Безопасности ООН с осуждением присоединения новых регионов к России, подчеркнув, что Совбез всемирной организации должен снижать напряжение, а не нагнетать его. ""Китай воздерживается от голосования по резолюции"", — сказал постпред КНР при ООН Чжан Цзюнь. Он подчеркнул, что СБ ООН должен быть объективным и беспристрастным, а стороны конфликта должны найти путь к дипломатическому урегулированию. Действия СБ ООН должны быть направлены на разрядку ситуацию и разрешение кризиса, а не наоборот, сказал дипломат. Со своей стороны, представитель Индии в ООН подтвердила, что страна воздерживается от голосования. ""Эскалация риторики и напряжения ни в чьих интересах, важно найти путь к возвращению к переговорам. Принимая во внимание всю развивающуюся ситуацию, Индия воздерживается от голосования"", — сказала она. Запад, не признавая референдумы о присоединении к России, проявляет двойные стандарты, указывал ранее в Совбезе ООН постпред России Василий Небензя, напомнив о признании Косово. В истории есть и другие примеры признания Западом отделения и присоединения территорий без согласия государств, в которые они входили. Техас в 1836 году отделился от Мексики, а затем вошел в состав США; в 1990 и 1991 годах Словения и Хорватия провели референдумы о независимости от Югославии без согласия ее властей и были признаны; в 1991 году референдумы о независимости от СССР прошли в Эстонии, на Украине, в Грузии, Молдавии, Туркмении, Армении и Азербайджане вопреки воле советского руководства и всего советского народа, который на всесоюзном референдуме высказался за сохранение Союза; а при объединении ФРГ и ГДР мнение населения вообще никто не спрашивал — поглощение Западной Германией Восточной прошло без референдума. При этом итоги референдумов внутри самих стран Запада игнорируются. В 2017 году за независимость Каталонии от Испании проголосовали 90% жителей автономии, после чего в отношении сторонников независимости Мадрид начал масштабные репрессии. В конце 2017 года жители итальянских областей Венето и Ломбардия на референдумах потребовали большей автономии от Рима, однако процесс предоставления новых полномочий со стороны центральных властей забуксовал. ",198490,611,29,23:29 30.09.2022
" Свыше 2 миллионов туристов из России прибыли в турецкую Анталью в январе-сентябре, рост турпотока составил 57% по сравнению с аналогичным периодом прошлого года, <a href=""https://www.aa.com.tr/ru/%D1%8D%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D0%BA%D0%B0/%D1%82%D1%83%D1%80%D0%BF%D0%BE%D1%82%D0%BE%D0%BA-%D0%B2-%D0%B0%D0%BD%D1%82%D0%B0%D0%BB%D1%8C%D1%8E-%D0%B7%D0%B0-9-%D0%BC%D0%B5%D1%81%D1%8F%D1%86%D0%B5%D0%B2-%D0%BF%D1%80%D0%B5%D0%B2%D1%8B%D1%81%D0%B8%D0%BB-11-%D0%BC%D0%BB%D0%BD-%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA/2700072"" rel=""nofollow noopener"" target=""_blank"">передает агентство Anadolu со ссылкой на управление по делам культуры и туризма провинции Анталья. ""Анталья в период с 1 января по 30 сентября приняла 11 027 094 туристов. Туристическая столица Турции переживает самый оживленный период в сфере туризма после пандемии коронавируса. В регион, который славится своим теплым морем, песком, солнцем, историческими достопримечательностями, античными городами и природными красотами, стекаются туристы со всех уголков мира, что, несомненно, радует представителей туристического сектора"", - пишет агентство. Уточняется, что рост турпотока в нынешнем году составил 57% по сравнению с аналогичным периодом прошлого года. ""В сентябре текущего года в Анталью прибыло 1 989 154 человека против 1 732 304 в тот же период 2021 года. Таким образом, рост турпотока в этот туристический регион в сентябре составил 15%. Наибольшее число туристов в январе-сентябре текущего года прибыло в Анталью из России – 2 339 536. Далее следуют туристы из Германии – 2 195 860 и Великобритании – 952 246. В топ-10 вошли также Польша, Нидерланды, Казахстан, Румыния, Израиль, Чехия и Дания"", - уточнило издание. ",7812,25,51,22:45 01.10.2022
" По итогам обработки 69,09% протоколов за вступление в состав РФ в Донецкой Народной Республике проголосовали 98,69% избирателей, сообщил председатель ЦИК ДНР Владимир Высоцкий. ""По состоянию на 22.50 обработано 69.09% протоколов. Свои голоса ""за"" отдали 98,69%, ""против"" – 0, 79%"", - сказал Высоцкий на брифинге. ",719,43,1,23:11 27.09.2022
" Фильмы ""Вихрь"" Гаспара Ноэ, ""Кома"" Бертрана Бонелло и другие проекты зарубежных режиссеров покажут в ""ГЭС-2"" с 4 по 22 октября, а с 14 по 23 октября – еще в 16 городах России в программе ""Артхаус: Эпизод 1"", сообщает пресс-служба дома культуры. Этот проект состоит из четырех эпизодов. Реализовать их планируется до конца 2023 года. Каждый будет посвящен определенной теме, вокруг которой построят кинопрограмму и серию публичных дискуссий. Его цель — ""исследование киноаудитории, взаимодействие с сообществом и вовлечение его в сопрограммирование"", рассказали в Доме культуры. Показы в ""ГЭС‑2"" посвятят отсутствию взаимопонимания в современном обществе и поиску возможностей для диалога.  Помимо ""Комы"" и ""Вихря"" зрителям представят ""Нитрам"" Джастина Курзеля, ""Дела человеческие"" Ивана Атталя, ""Под облаками"" Жюли Лекустр и Эммануэля Марре, ""Больше чем никогда"" Эмили Атеф.  Фильм Квентина Дюпье ""Невероятно, но факт"" покажут только в региональной программе. Завершится первый эпизод проекта в Екатеринбурге 21–23 октября. Программу ""Артхаус: Эпизод 1"" Дом культуры ""ГЭС-2"" создает совместно с творческим объединением Arthouse.  ",1581,16,6,17:58 03.10.2022
" Православные верующие отмечают один из 12-ти главных праздников церковного календаря - Воздвижение Креста Господня. Праздник был установлен в связи с событиями IV века: святая царица Елена, мать императора Константина I, нашла в Иерусалиме величайшую христианскую святыню - крест, на котором был распят Иисус Христос. После разрушения Иерусалима в 70 году римскими войсками реликвия была утеряна. Ее нашли под языческим святилищем Афродиты, устроенным на месте Гроба Господня. По преданию, когда святая Елена обнаружила рядом три креста, внешне не отличимые друг от друга (вместе со Христом были распяты еще два разбойника), крест Иисуса удалось определить по тому, что от прикосновения к нему исцелился тяжелобольной человек и ожил умерший, которого в этот момент несли мимо на погребение. Чтобы паломники, собравшиеся к месту обретения святыни, смогли увидеть крест, Иерусалимский патриарх Макарий высоко поднял его - ""воздвиг"". После торжественного события императрица одну часть святыни оставила в храме Гроба Господня в Иерусалиме, а другую отправила в Константинополь. ",4723,180,7,00:00 27.09.2022
"Римско-католическая и Евангелическо-лютеранская церкви, Армянская апостольская и часть древних церквей Востока встретили Воскресение Христово. Важнейший для верующих праздник — в фотоленте Ria.ru. ",2735,15,3,13:35 05.04.2021
" Официальный представитель генсека ООН Стефан Дюжаррик не стал комментировать предложение американского предпринимателя Илона Маска по установлению мира на Украине. В понедельник Маск написал, что сомневается в возможности победы Украины в случае полномасштабной войны с Россией, и призвал стороны к миру. Он также предложил свое видение урегулирования конфликта на Украине. План предполагает ""повторное голосование в аннексированных регионах под наблюдением ООН"", сохранение Крыма ""формальной частью России, как это было с 1783 года (до ошибки Хрущева)"", гарантии водоснабжения Крыма и нейтральный статус Украины. ""Думаю, достаточно людей заполучили синдром запястного канала, печатая ответы на изначальный комментарий Илона Маска. Как бы мне ни хотелось погрузиться в этот дискурс, я не буду этого делать"", - сказал Дюжаррик на брифинге, отвечая на соответствующий вопрос. ",268,1,0,20:39 04.10.2022
"Археологи обнаружили в пещерах Иудейской пустыни фрагменты свитков с библейскими текстами, доисторические монеты и плетеную корзину возрастом десять тысяч лет. Уникальные находки — в фотоленте Ria.ru. ",46585,412,19,15:19 17.03.2021
" Реставрационный Совет в Третьяковской галерее подготовит протокол о состоянии иконы Андрея Рублева ""Святая Троица"", там определены меры для ""стабилизации"" ее состояния, сообщает галерея в своем официальном Telegram-канале. Ранее в ряде Telegram-каналов появилась информация, что на ""Святой Троице"" Андрея Рублева специалисты якобы обнаружили 61 повреждение после того, как икону в специальной капсуле с поддерживаемым климатом отправили в Троице-Сергиеву лавру для богослужений, приуроченных к 600-летию обретения мощей преподобного Сергия Радонежского. ""Восьмого сентября 2022 года в Государственной Третьяковской галерее прошло заседание Расширенного Реставрационного Совета, посвященного анализу состояния сохранности иконы Андрея Рублева ""Святая Троица"". По итогам заседания будет оформлен протокол, описывающий состояние иконы и определяющий меры, необходимые для стабилизации ее состояния"", - говорится в сообщении. Отмечается, что до этого момента Третьяковская галерея ""просит воздержаться от каких-либо преждевременных оценок и выводов, тем более на основании неофициально опубликованного в интернет-пространстве файла"". ""Икона Андрея Рублева ""Святая Троица"" (№13012) находится в депозитарии Государственной Третьяковской галереи под наблюдением специалистов"", - заключили в галерее. ",5474,23,2,19:17 28.09.2022
" Министр обороны Сергей Шойгу поручил Генштабу довести до председателей призывных комиссий и военных комиссаров исчерпывающие разъяснения по отсрочкам в рамках частичной мобилизации, сообщило Минобороны в Telegram-канале. ""Прежде всего &lt;...&gt; это касается обучающихся по очной и очно-заочной формам обучения среднего и высшего профессионального образования в государственных и коммерческих образовательных организациях, научных организациях и получающим образование соответствующего уровня впервые"", — говорится в публикации по итогам селекторного совещания министра с руководством вооруженных сил. Генштаб уже подготовил подробные разъяснения по отсрочкам для сотрудников оборонно-промышленного комплекса, аккредитованных IT-компаний, предприятий связи и СМИ, а также некоторых финансовых и банковских организаций. Также Шойгу указал на необходимость довести до военкоматов разъяснения по отсрочкам для родителей детей с тяжелыми неизлечимыми заболеваниями или трех детей, один из которых инвалид. Генштаб в соответствии с поручением министра должен в полном объеме обеспечивать мобилизованных необходимыми вещами и исключать нарушение прав граждан в ходе частичной мобилизации. Как указал глава Минобороны, в вооруженные силы прибыли уже более 200 тысяч человек. Президент Владимир Путин 21 сентября своим указом объявил в России частичную мобилизацию. Он сообщил, что призывать будут военнослужащих запаса с опытом военной службы, имеющих востребованные в войсках военно-учетные специальности. В свою очередь, Шойгу уточнил, что планируется призвать до 300 тысяч человек. ",171246,170,6,15:08 04.10.2022
" Немцы в Twitter-аккаунте телеканала ZDF раскритиковали очередное требование Польши выплатить репарации за ущерб, нанесенный в ходе Второй мировой войной. Комментаторы напомнили полякам о ""возвращенных землях"" бывших восточных территорий Германии, большая часть которых перешла Польше по условиям международных соглашений после 1945 года. ""Ладно, тогда мы сможем вернуть Силезию, Померанию, Западную и Восточную Пруссию"", — написал читатель. ""У меня есть такое предложение. Польша получает 1,3 триллиона долларов, возвращает нам восточные территории и компенсирует нам экономические потери за то время, что территории были под управлением поляков"", — сыронизировал другой. ""Хорошая идея. А сколько Варшава нам заплатит, если мы компенсируем стоимость земли, которую Польша получила от Германии после войны?"" — заметил юзер. ""Если хочешь изменить статус-кво, будь готов ответить на вопрос: а что немцы хотят получить взамен?"" — поинтересовался пользователь. ""Польше должно быть стыдно за себя. Многие немцы, изгнанные из Польши, потеряли собственность и не получили никакой компенсации. Полякам бы не высовываться"", — заключил другой. Ранее власти Польши заявили, что требуют от Германии 6,2 триллиона злотых (около 1,3 триллиона долларов) в качестве репараций за ущерб от Второй мировой войны. В понедельник министр иностранных дел Польши Збигнев Рау подписал ноту в адрес Германии с требованием компенсаций. В правительстве Германии неоднократно заявляли, что не намерены осуществлять выплаты Польше: в Берлине считают, что уже выплатили достаточно крупные репарации и нет оснований ставить под сомнение отказ Польши от репараций в 1953 году. ",13004,289,4,18:42 04.10.2022
