Date;CowID;DeathReason
29.04.2022;RU3111005017630;ЗДОРОВЬЕ
29.04.2022;RU3101150166448;ЗДОРОВЬЕ
30.04.2022;RU3101090130194;ЗДОРОВЬЕ
30.04.2022;RU3101090120400;ЗДОРОВЬЕ
30.04.2022;NL0672780185;НОВОТ060
01.05.2022;RU3110204120832;ЗДОРОВЬЕ
01.05.2022;RU3101090157025;ЗДОРОВЬЕ
01.05.2022;RU3110204122358;ЗДОРОВЬЕ
01.05.2022;RU3101090118832;ЗДОРОВЬЕ
02.05.2022;RU3111005007089;НОВОТ060
03.05.2022;RU3101150166156;ЗДОРОВЬЕ
03.05.2022;RU3101090126631;ЗДОРОВЬЕ
04.05.2022;RU3101090129098;ЗДОРОВЬЕ
04.05.2022;RU3101090157223;ЗДОРОВЬЕ
06.05.2022;NL0752846978;ЗДОРОВЬЕ
06.05.2022;RU3111005007657;НОВОТ060
07.05.2022;RU3101090156281;ЗДОРОВЬЕ
07.05.2022;RU3101050305175;ЗДОРОВЬЕ
07.05.2022;RU3101090129435;ЗДОРОВЬЕ
07.05.2022;RU3101090157179;ЗДОРОВЬЕ
07.05.2022;RU3111005017196;ЗДОРОВЬЕ
08.05.2022;RU3101100503666;ЗДОРОВЬЕ
11.05.2022;RU3101150140610;НОВОТ060
11.05.2022;RU3110204123511;ЗДОРОВЬЕ
11.05.2022;DE0360302099;ЗДОРОВЬЕ
11.05.2022;DE0360693837;НОВОТ060
11.05.2022;RU3110204123377;ЗДОРОВЬЕ
12.05.2022;NL0576823120;НОВОТ060
12.05.2022;DE0360679234;НОВОТ060
12.05.2022;RU3110204123771;ЗДОРОВЬЕ
13.05.2022;DE0361014567;ЗДОРОВЬЕ
13.05.2022;RU3110204130189;НОВОТ060
15.05.2022;RU3101050305044;ЗДОРОВЬЕ
15.05.2022;DE0360297165;ЗДОРОВЬЕ
15.05.2022;RU3101090117227;НОВОТ060
15.05.2022;RU3110204122468;ЗДОРОВЬЕ
19.05.2022;NL0721581132;НОВОТ060
19.05.2022;RU3101100549961;ЗДОРОВЬЕ
19.05.2022;DE0358802056;НОВОТ060
19.05.2022;RU3111005048146;НОВОТ060
23.05.2022;RU3111005016438;ЗДОРОВЬЕ
24.05.2022;NL0728209301;НОВОТ060
24.05.2022;DE0359956607;ЗДОРОВЬЕ
24.05.2022;RU3111005008851;ЗДОРОВЬЕ
24.05.2022;NL0675335755;ЗДОРОВЬЕ
25.05.2022;RU3111005017575;ЗДОРОВЬЕ
26.05.2022;DE0539112825;НОВОТ060
26.05.2022;NL0664071507;НОВОТ060
26.05.2022;DE0360403021;НОВОТ060
27.05.2022;RU3110204120467;ЗДОРОВЬЕ
28.05.2022;RU3110204122440;НОВОТ060
28.05.2022;DE0539105468;ЗДОРОВЬЕ
28.05.2022;NL0657006213;ЗДОРОВЬЕ
28.05.2022;RU3110204122840;ЗДОРОВЬЕ
28.05.2022;NL0735277168;ЗДОРОВЬЕ
28.05.2022;DE0360642869;ЗДОРОВЬЕ
28.05.2022;DE1504359985;ЗДОРОВЬЕ
28.05.2022;RU3111005007534;ПРОДУКТВ
29.05.2022;RU3101100549679;ЗДОРОВЬЕ
29.05.2022;RU3110204121113;ЗДОРОВЬЕ
29.05.2022;RU3111005007514;ЗДОРОВЬЕ
30.05.2022;RU3101090130228;ЗДОРОВЬЕ
31.05.2022;NL0675369482;ЗДОРОВЬЕ
31.05.2022;RU3101090156578;ЗДОРОВЬЕ
31.05.2022;NL0750592992;ЗДОРОВЬЕ
31.05.2022;NL0733592728;ЗДОРОВЬЕ
31.05.2022;RU3101090159215;ЗДОРОВЬЕ
31.05.2022;NL0939342095;ЗДОРОВЬЕ
31.05.2022;RU3111005016838;ЗДОРОВЬЕ
31.05.2022;NL0841967111;ЗДОРОВЬЕ
31.05.2022;RU3111005009006;ЗДОРОВЬЕ
31.05.2022;NL0747923026;ЗДОРОВЬЕ
01.06.2022;RU3111005003775;ЗДОРОВЬЕ
01.06.2022;RU3101090118773;ЗДОРОВЬЕ
02.06.2022;RU3101100549089;ЗДОРОВЬЕ
02.06.2022;RU3101100503624;ЗДОРОВЬЕ
02.06.2022;RU3101090116276;НОВОТ060
02.06.2022;RU3101090117304;ЗДОРОВЬЕ
02.06.2022;RU3101090159466;НОВОТ060
03.06.2022;RU3101090116156;ЗДОРОВЬЕ
03.06.2022;RU3101090117769;ЗДОРОВЬЕ
03.06.2022;RU3110204140935;ЗДОРОВЬЕ
05.06.2022;RU3101090125709;ЗДОРОВЬЕ
05.06.2022;NL0615245526;ЗДОРОВЬЕ
06.06.2022;DE0539013898;ЗДОРОВЬЕ
07.06.2022;RU3101150140682;ЗДОРОВЬЕ
07.06.2022;DE0361465349;ЗДОРОВЬЕ
07.06.2022;NL0937262436;ЗДОРОВЬЕ
07.06.2022;RU3110204121758;ЗДОРОВЬЕ
07.06.2022;RU3101100503366;НОВОТ060
08.06.2022;RU3111005048859;ЗДОРОВЬЕ
08.06.2022;RU3101090159530;ЗДОРОВЬЕ
09.06.2022;RU3110204140585;ПРОДУКТВ
09.06.2022;RU3110204140649;ПРОДУКТВ
09.06.2022;RU3110204140585;ЗДОРОВЬЕ
09.06.2022;RU3110204121689;ЗДОРОВЬЕ
09.06.2022;RU3110204120633;ЗДОРОВЬЕ
10.06.2022;RU3110204122727;ЗДОРОВЬЕ
10.06.2022;RU3101090125369;ЗДОРОВЬЕ
11.06.2022;NL0899164955;ПРОДУКТВ
12.06.2022;RU3101100549433;ЗДОРОВЬЕ
12.06.2022;RU3110204140918;ЗДОРОВЬЕ
12.06.2022;RU3101150140455;ЗДОРОВЬЕ
13.06.2022;RU3110204122068;ЗДОРОВЬЕ
13.06.2022;RU3101090126106;ЗДОРОВЬЕ
13.06.2022;RU3101150166766;НОВОТ060
13.06.2022;DE0359960513;ЗДОРОВЬЕ
14.06.2022;RU3110204121049;ЗДОРОВЬЕ
14.06.2022;RU3111005007154;ЗДОРОВЬЕ
16.06.2022;RU3101090159281;НОВОТ060
16.06.2022;RU3111005017791;ЗДОРОВЬЕ
17.06.2022;NL0669008911;НОВОТ060
17.06.2022;RU3110204140439;ЗДОРОВЬЕ
17.06.2022;RU3101020408886;ЗДОРОВЬЕ
18.06.2022;DE1603569999;НОВОТ060
18.06.2022;DE0358642038;НОВОТ060
18.06.2022;RU3101090116847;ЗДОРОВЬЕ
18.06.2022;RU3101090129202;ЗДОРОВЬЕ
19.06.2022;RU3110204121112;ЗДОРОВЬЕ
19.06.2022;RU3111005017438;ЗДОРОВЬЕ
19.06.2022;RU3110204122815;ЗДОРОВЬЕ
20.06.2022;RU3110204140593;ЗДОРОВЬЕ
20.06.2022;RU3101090156460;ЗДОРОВЬЕ
20.06.2022;RU3110204123727;ЗДОРОВЬЕ
20.06.2022;RU3101100502763;ЗДОРОВЬЕ
20.06.2022;RU3110204122832;ЗДОРОВЬЕ
20.06.2022;NL0738324258;ЗДОРОВЬЕ
20.06.2022;RU3101100546883;ЗДОРОВЬЕ
21.06.2022;RU3110204121770;ЗДОРОВЬЕ
21.06.2022;RU3111005016711;ЗДОРОВЬЕ
21.06.2022;DE0360296689;НОВОТ060
21.06.2022;NL0756093383;ЗДОРОВЬЕ
22.06.2022;NL0843145757;НОВОТ060
22.06.2022;DE0360180700;ЗДОРОВЬЕ
22.06.2022;RU3101100548588;ЗДОРОВЬЕ
23.06.2022;RU3110204122729;ЗДОРОВЬЕ
23.06.2022;RU3110204120447;ЗДОРОВЬЕ
24.06.2022;RU3110204122225;ЗДОРОВЬЕ
24.06.2022;RU3110204122654;ЗДОРОВЬЕ
26.06.2022;RU3101090157366;ЗДОРОВЬЕ
27.06.2022;RU3111005017920;ЗДОРОВЬЕ
27.06.2022;NL0678861152;ЗДОРОВЬЕ
28.06.2022;RU3110204012841;ЗДОРОВЬЕ
28.06.2022;RU3101090156958;ЗДОРОВЬЕ
28.06.2022;DE0360689548;ЗДОРОВЬЕ
28.06.2022;RU3101090157412;НОВОТ060
29.06.2022;RU3101090119757;ЗДОРОВЬЕ
29.06.2022;RU3110204122501;ЗДОРОВЬЕ
29.06.2022;RU3111005016761;ЗДОРОВЬЕ
29.06.2022;RU3101090119866;ЗДОРОВЬЕ
29.06.2022;RU3101100549506;ЗДОРОВЬЕ
29.06.2022;RU3110204121616;ЗДОРОВЬЕ
29.06.2022;RU3101090158353;ЗДОРОВЬЕ
30.06.2022;RU3110204122162;ЗДОРОВЬЕ
30.06.2022;RU3111005048071;ЗДОРОВЬЕ
30.06.2022;CZ0800334961;ЗДОРОВЬЕ
30.06.2022;RU3111005003194;ЗДОРОВЬЕ
01.07.2022;RU3101090129084;ЗДОРОВЬЕ
01.07.2022;RU3110204140891;ЗДОРОВЬЕ
02.07.2022;RU3111005017342;НОВОТ060
03.07.2022;DE0360717267;ЗДОРОВЬЕ
03.07.2022;HU3462115495;ЗДОРОВЬЕ
03.07.2022;RU3111005007992;ЗДОРОВЬЕ
04.07.2022;RU3110204130966;ЗДОРОВЬЕ
04.07.2022;RU3110204121060;НОВОТ060
04.07.2022;RU3110204130493;НОВОТ060
05.07.2022;RU3110204122632;ЗДОРОВЬЕ
05.07.2022;RU3110204122814;ЗДОРОВЬЕ
05.07.2022;RU3110204121060;ЗДОРОВЬЕ
06.07.2022;DE0360160979;НОВОТ060
06.07.2022;RU3101090116866;НОВОТ060
08.07.2022;RU3110204121835;ЗДОРОВЬЕ
08.07.2022;RU3101090129203;ЗДОРОВЬЕ
08.07.2022;RU3101090119937;ЗДОРОВЬЕ
08.07.2022;RU3101090120870;ЗДОРОВЬЕ
08.07.2022;NL0843416785;.
08.07.2022;RU3101100549296;ЗДОРОВЬЕ
09.07.2022;RU3110204130442;ЗДОРОВЬЕ
09.07.2022;DE1405718718;НОВОТ060
09.07.2022;RU3111005007438;ЗДОРОВЬЕ
09.07.2022;DE0358684441;НОВОТ060
09.07.2022;NL0744878040;НОВОТ060
09.07.2022;RU3111005017423;НОВОТ060
09.07.2022;DE0360191334;ЗДОРОВЬЕ
09.07.2022;HU3462112193;ЗДОРОВЬЕ
09.07.2022;DE1405767738;ЗДОРОВЬЕ
10.07.2022;RU3110204121507;ЗДОРОВЬЕ
10.07.2022;RU3111005003293;ЗДОРОВЬЕ
10.07.2022;DE0358257435;ЗДОРОВЬЕ
10.07.2022;RU3111005016111;ЗДОРОВЬЕ
10.07.2022;RU3110204121405;ЗДОРОВЬЕ
11.07.2022;DE0361078061;ЗДОРОВЬЕ
12.07.2022;RU3101090126486;ЗДОРОВЬЕ
12.07.2022;RU3101090125891;ЗДОРОВЬЕ
13.07.2022;RU3110204121708;НОВОТ060
13.07.2022;RU3111005016875;ЗДОРОВЬЕ
13.07.2022;RU3101090117597;ЗДОРОВЬЕ
13.07.2022;RU3110204122575;НОВОТ060
13.07.2022;DE0358643629;НОВОТ060
13.07.2022;RU3101090129864;ЗДОРОВЬЕ
13.07.2022;RU3101090127614;ЗДОРОВЬЕ
14.07.2022;RU3110204122188;ЗДОРОВЬЕ
14.07.2022;RU3101090126694;ЗДОРОВЬЕ
14.07.2022;RU3111005170154;НОВОТ060
14.07.2022;NL0659612430;ЗДОРОВЬЕ
14.07.2022;RU3110204123678;НОВОТ060
14.07.2022;RU3111005016981;ЗДОРОВЬЕ
14.07.2022;RU3101090115476;ЗДОРОВЬЕ
14.07.2022;RU3110204110075;ЗДОРОВЬЕ
14.07.2022;RU3101090120846;НОВОТ060
14.07.2022;RU3110204130742;ЗДОРОВЬЕ
14.07.2022;NL0759026546;ЗДОРОВЬЕ
14.07.2022;RU3110204123294;ЗДОРОВЬЕ
14.07.2022;RU3111005007572;ЗДОРОВЬЕ
15.07.2022;RU3111005016811;ЗДОРОВЬЕ
15.07.2022;RU3110204140665;ЗДОРОВЬЕ
15.07.2022;RU3110204140665;НОВОТ060
16.07.2022;RU3110204123136;ЗДОРОВЬЕ
16.07.2022;DE0358664407;НОВОТ060
16.07.2022;RU3101090129742;ЗДОРОВЬЕ
17.07.2022;DE0360063641;НОВОТ060
18.07.2022;RU3101090119536;ЗДОРОВЬЕ
18.07.2022;RU3110204122960;НОВОТ060
18.07.2022;RU3111005007332;ЗДОРОВЬЕ
18.07.2022;RU3101100516022;ЗДОРОВЬЕ
19.07.2022;RU3110204123554;ЗДОРОВЬЕ
19.07.2022;RU3101090130204;ЗДОРОВЬЕ
19.07.2022;RU3110204140735;ЗДОРОВЬЕ
19.07.2022;RU3101090159125;ЗДОРОВЬЕ
19.07.2022;RU3101100503264;ЗДОРОВЬЕ
19.07.2022;RU3111005017477;ЗДОРОВЬЕ
19.07.2022;DE1603820318;ЗДОРОВЬЕ
19.07.2022;NL0738324133;ЗДОРОВЬЕ
19.07.2022;DE0539413321;ЗДОРОВЬЕ
19.07.2022;NL0615041063;ЗДОРОВЬЕ
20.07.2022;RU3110204130748;ЗДОРОВЬЕ
20.07.2022;RU3110204130748;НОВОТ060
20.07.2022;NL0720294703;ЗДОРОВЬЕ
20.07.2022;RU3110204130856;ЗДОРОВЬЕ
20.07.2022;NL0549606842;ЗДОРОВЬЕ
20.07.2022;NL0654323126;ЗДОРОВЬЕ
21.07.2022;RU3110204122361;НОВОТ060
21.07.2022;RU3101090120468;ЗДОРОВЬЕ
21.07.2022;RU3110204124160;ЗДОРОВЬЕ
21.07.2022;RU3101090125355;НОВОТ060
21.07.2022;RU3110204120783;ЗДОРОВЬЕ
22.07.2022;RU3111005016811;ЗДОРОВЬЕ
22.07.2022;RU3101090119695;ЗДОРОВЬЕ
22.07.2022;RU3101090117679;НОВОТ060
22.07.2022;RU3101090120704;ЗДОРОВЬЕ
22.07.2022;RU3101090117637;ЗДОРОВЬЕ
23.07.2022;RU3101090158432;ЗДОРОВЬЕ
23.07.2022;RU3101090127380;ЗДОРОВЬЕ
23.07.2022;RU3101090128033;ЗДОРОВЬЕ
23.07.2022;NL0656596458;НОВОТ060
24.07.2022;RU3110204122013;ЗДОРОВЬЕ
24.07.2022;RU3101090125460;ЗДОРОВЬЕ
24.07.2022;RU3110204140840;ЗДОРОВЬЕ
24.07.2022;NL0628722359;ЗДОРОВЬЕ
26.07.2022;RU3101090116587;ЗДОРОВЬЕ
26.07.2022;RU3101090119851;НОВОТ060
26.07.2022;RU3101090120027;НОВОТ060
26.07.2022;RU3101090118588;НОВОТ060
26.07.2022;RU3110204140875;ЗДОРОВЬЕ
26.07.2022;DE0360870648;НОВОТ060
26.07.2022;RU3101090156459;ЗДОРОВЬЕ
26.07.2022;RU3101090128416;ЗДОРОВЬЕ
26.07.2022;RU3101100546463;НОВОТ060
26.07.2022;RU3110204122475;ЗДОРОВЬЕ
27.07.2022;RU3111005017653;ЗДОРОВЬЕ
27.07.2022;NL0677023915;ЗДОРОВЬЕ
27.07.2022;RU3110204140806;ЗДОРОВЬЕ
27.07.2022;RU3101150166306;ЗДОРОВЬЕ
27.07.2022;RU3101090118324;НОВОТ060
27.07.2022;RU3110204012988;ЗДОРОВЬЕ
28.07.2022;RU3101090130247;ЗДОРОВЬЕ
28.07.2022;RU3111005003610;ЗДОРОВЬЕ
28.07.2022;NL0936600440;ЗДОРОВЬЕ
28.07.2022;RU3101100547786;ЗДОРОВЬЕ
28.07.2022;NL0668046509;ЗДОРОВЬЕ
29.07.2022;RU3101150140467;ЗДОРОВЬЕ
30.07.2022;RU3110204123525;ЗДОРОВЬЕ
30.07.2022;RU3101090118487;НОВОТ060
30.07.2022;NL0655825995;ЗДОРОВЬЕ
30.07.2022;RU3111005008274;ЗДОРОВЬЕ
30.07.2022;RU3111005017143;ЗДОРОВЬЕ
30.07.2022;RU3111005017010;ЗДОРОВЬЕ
30.07.2022;RU3111005170133;ЗДОРОВЬЕ
30.07.2022;NL0744599862;ЗДОРОВЬЕ
30.07.2022;RU3101100549197;ЗДОРОВЬЕ
31.07.2022;DE0360799354;ЗДОРОВЬЕ
31.07.2022;RU3110204130636;НОВОТ060
31.07.2022;NL0898127988;ЗДОРОВЬЕ
31.07.2022;NL0758134545;ЗДОРОВЬЕ
31.07.2022;RU3111005046067;ЗДОРОВЬЕ
01.08.2022;RU3110204121798;ЗДОРОВЬЕ
02.08.2022;RU3101090119678;ЗДОРОВЬЕ
02.08.2022;RU3110204130991;ЗДОРОВЬЕ
02.08.2022;RU3101100548263;ЗДОРОВЬЕ
02.08.2022;NL0625406087;ЗДОРОВЬЕ
02.08.2022;NL0597694198;ЗДОРОВЬЕ
02.08.2022;NL0717935279;НОВОТ060
03.08.2022;RU3110204120918;ЗДОРОВЬЕ
03.08.2022;RU3110204122402;НОВОТ060
03.08.2022;RU3101150140677;НОВОТ060
03.08.2022;RU3101150108911;НОВОТ060
03.08.2022;RU3101100549475;ЗДОРОВЬЕ
03.08.2022;RU3110204121669;НОВОТ060
03.08.2022;RU3110204122402;ЗДОРОВЬЕ
03.08.2022;RU3110204121669;ЗДОРОВЬЕ
04.08.2022;RU3101150109576;ЗДОРОВЬЕ
04.08.2022;RU3101090127026;НОВОТ060
04.08.2022;RU3101090157172;НОВОТ060
05.08.2022;RU3101090126045;ЗДОРОВЬЕ
05.08.2022;RU3111005007454;ЗДОРОВЬЕ
05.08.2022;NL0625576892;ЗДОРОВЬЕ
05.08.2022;RU3111005008296;ЗДОРОВЬЕ
06.08.2022;RU3101090117025;НОВОТ060
06.08.2022;RU3101090159451;ЗДОРОВЬЕ
06.08.2022;RU3110204123351;ЗДОРОВЬЕ
07.08.2022;RU3101090118907;НОВОТ060
07.08.2022;DE0360545111;ЗДОРОВЬЕ
07.08.2022;RU3101090119440;ЗДОРОВЬЕ
07.08.2022;RU3101090120166;ЗДОРОВЬЕ
07.08.2022;RU3101090119490;ЗДОРОВЬЕ
08.08.2022;DE0360305790;НОВОТ060
08.08.2022;NL0587335092;ЗДОРОВЬЕ
08.08.2022;RU3101100503050;НОВОТ060
08.08.2022;NL0359168417;ЗДОРОВЬЕ
08.08.2022;DE1405844556;НОВОТ060
08.08.2022;RU3111005009008;ЗДОРОВЬЕ
08.08.2022;NL0749608170;ЗДОРОВЬЕ
08.08.2022;RU3101090125576;ЗДОРОВЬЕ
08.08.2022;RU3110204121801;ЗДОРОВЬЕ
08.08.2022;RU3110204121801;НОВОТ060
08.08.2022;RU3101090117441;ЗДОРОВЬЕ
09.08.2022;RU3110204130906;ЗДОРОВЬЕ
09.08.2022;RU3111005017777;ЗДОРОВЬЕ
10.08.2022;DE0361085274;НОВОТ060
10.08.2022;NL0665228298;ЗДОРОВЬЕ
10.08.2022;RU3101100547629;ЗДОРОВЬЕ
10.08.2022;RU3101090128394;ЗДОРОВЬЕ
11.08.2022;RU3110204123839;ЗДОРОВЬЕ
11.08.2022;RU3101090127912;ЗДОРОВЬЕ
